,Date,TSLA_high,NIO_high,TSLA_low,NIO_low,TSLA_ave,NIO_ave
0,2022-01-03,1201.0699462890625,33.79999923706055,1136.0400390625,31.8799991607666,1168.5549926757812,32.839999198913574
1,2022-01-04,1208.0,33.38999938964844,1123.050048828125,31.110000610351562,1165.5250244140625,32.25
2,2022-01-05,1170.3399658203125,31.940000534057617,1081.010009765625,29.780000686645508,1125.6749877929688,30.860000610351562
3,2022-01-06,1088.0,30.540000915527344,1020.5,28.280000686645508,1054.25,29.410000801086426
4,2022-01-07,1080.9300537109375,30.420000076293945,1010.0,28.780000686645508,1045.4650268554688,29.600000381469727
5,2022-01-10,1059.0999755859375,29.15999984741211,980.0,27.780000686645508,1019.5499877929688,28.47000026702881
6,2022-01-11,1075.8499755859375,30.440000534057617,1038.8199462890625,28.469999313354492,1057.3349609375,29.454999923706055
7,2022-01-12,1114.8399658203125,31.860000610351562,1072.5899658203125,30.34000015258789,1093.7149658203125,31.100000381469727
8,2022-01-13,1115.5999755859375,31.850000381469727,1026.5400390625,30.479999542236328,1071.0700073242188,31.164999961853027
9,2022-01-14,1052.0,31.31999969482422,1013.3800048828125,30.079999923706055,1032.6900024414062,30.699999809265137
10,2022-01-18,1070.7900390625,30.90999984741211,1016.0599975585938,29.600000381469727,1043.4250183105469,30.255000114440918
11,2022-01-19,1054.6700439453125,30.149999618530273,995.0,28.610000610351562,1024.8350219726562,29.380000114440918
12,2022-01-20,1041.6600341796875,30.8799991607666,994.0,29.049999237060547,1017.8300170898438,29.964999198913574
13,2022-01-21,1004.5499877929688,28.989999771118164,940.5,27.219999313354492,972.5249938964844,28.104999542236328
14,2022-01-24,933.510009765625,25.979999542236328,851.469970703125,23.100000381469727,892.489990234375,24.539999961853027
15,2022-01-25,951.260009765625,25.010000228881836,903.2100219726562,23.3799991607666,927.2350158691406,24.19499969482422
16,2022-01-26,987.6900024414062,24.780000686645508,906.0,22.530000686645508,946.8450012207031,23.655000686645508
17,2022-01-27,935.3900146484375,22.809999465942383,829.0,20.959999084472656,882.1950073242188,21.88499927520752
18,2022-01-28,857.5,21.31999969482422,792.010009765625,19.309999465942383,824.7550048828125,20.3149995803833
19,2022-01-31,937.989990234375,24.639999389648438,862.0499877929688,21.600000381469727,900.0199890136719,23.119999885559082
20,2022-02-01,943.7000122070312,25.229999542236328,905.0,23.559999465942383,924.3500061035156,24.394999504089355
21,2022-02-02,931.5,24.889999389648438,889.4099731445312,23.010000228881836,910.4549865722656,23.949999809265137
22,2022-02-03,937.0,24.6200008392334,880.52001953125,22.950000762939453,908.760009765625,23.785000801086426
23,2022-02-04,936.5,24.31999969482422,881.1699829101562,22.729999542236328,908.8349914550781,23.524999618530273
24,2022-02-07,947.77001953125,24.780000686645508,902.7100219726562,23.530000686645508,925.2400207519531,24.155000686645508
25,2022-02-08,926.2899780273438,24.860000610351562,894.7999877929688,23.540000915527344,910.5449829101562,24.200000762939453
26,2022-02-09,946.27001953125,26.239999771118164,920.0,25.049999237060547,933.135009765625,25.644999504089355
27,2022-02-10,943.8099975585938,26.40999984741211,896.7000122070312,25.020000457763672,920.2550048828125,25.71500015258789
28,2022-02-11,915.9600219726562,25.68000030517578,850.7000122070312,23.700000762939453,883.3300170898438,24.690000534057617
29,2022-02-14,898.8800048828125,24.540000915527344,853.1500244140625,23.34000015258789,876.0150146484375,23.940000534057617
30,2022-02-15,923.0,25.84000015258789,893.3800048828125,24.200000762939453,908.1900024414062,25.020000457763672
31,2022-02-16,926.4299926757812,25.84000015258789,901.2100219726562,25.049999237060547,913.8200073242188,25.44499969482422
32,2022-02-17,918.5,26.270000457763672,874.0999755859375,24.649999618530273,896.2999877929688,25.460000038146973
33,2022-02-18,886.8699951171875,24.790000915527344,837.6099853515625,22.739999771118164,862.239990234375,23.765000343322754
34,2022-02-22,856.72998046875,22.959999084472656,801.0999755859375,21.31999969482422,828.9149780273438,22.139999389648438
35,2022-02-23,835.2999877929688,22.5,760.5599975585938,20.450000762939453,797.9299926757812,21.475000381469727
36,2022-02-24,802.47998046875,21.309999465942383,700.0,18.469999313354492,751.239990234375,19.889999389648438
37,2022-02-25,819.5,21.56999969482422,782.4000244140625,20.190000534057617,800.9500122070312,20.880000114440918
38,2022-02-28,876.8599853515625,23.149999618530273,814.7100219726562,20.940000534057617,845.7850036621094,22.045000076293945
39,2022-03-01,889.8800048828125,23.350000381469727,853.780029296875,21.729999542236328,871.8300170898438,22.539999961853027
40,2022-03-02,886.47998046875,22.209999084472656,844.27001953125,20.6299991607666,865.375,21.41999912261963
41,2022-03-03,886.4400024414062,21.809999465942383,832.5999755859375,19.719999313354492,859.5199890136719,20.764999389648438
42,2022-03-04,855.6500244140625,20.290000915527344,825.1599731445312,18.549999237060547,840.4049987792969,19.420000076293945
43,2022-03-07,866.1400146484375,20.030000686645508,804.5700073242188,18.040000915527344,835.3550109863281,19.035000801086426
44,2022-03-08,849.989990234375,18.75,782.1699829101562,17.579999923706055,816.0799865722656,18.164999961853027
45,2022-03-09,860.5599975585938,20.549999237060547,832.010009765625,18.510000228881836,846.2850036621094,19.52999973297119
46,2022-03-10,854.4500122070312,19.100000381469727,810.3599853515625,17.219999313354492,832.4049987792969,18.15999984741211
47,2022-03-11,843.7999877929688,18.1299991607666,793.77001953125,16.06999969482422,818.7850036621094,17.09999942779541
48,2022-03-14,800.7000122070312,15.739999771118164,756.0399780273438,13.819999694824219,778.3699951171875,14.779999732971191
49,2022-03-15,805.5700073242188,15.350000381469727,756.5700073242188,13.010000228881836,781.0700073242188,14.180000305175781
50,2022-03-16,842.0,18.770000457763672,802.260009765625,16.780000686645508,822.1300048828125,17.77500057220459
51,2022-03-17,875.0,18.829999923706055,825.719970703125,17.440000534057617,850.3599853515625,18.135000228881836
52,2022-03-18,907.8499755859375,21.239999771118164,867.3900146484375,18.549999237060547,887.6199951171875,19.894999504089355
53,2022-03-21,942.8499755859375,21.200000762939453,907.0900268554688,19.329999923706055,924.9700012207031,20.265000343322754
54,2022-03-22,997.8599853515625,22.09000015258789,921.75,20.59000015258789,959.8049926757812,21.34000015258789
55,2022-03-23,1040.699951171875,22.600000381469727,976.4000244140625,20.889999389648438,1008.5499877929688,21.744999885559082
56,2022-03-24,1024.489990234375,22.1200008392334,988.7999877929688,20.65999984741211,1006.6449890136719,21.390000343322754
57,2022-03-25,1021.7999877929688,20.75,997.3200073242188,19.350000381469727,1009.5599975585938,20.050000190734863
58,2022-03-28,1097.8800048828125,21.229999542236328,1053.5999755859375,20.31999969482422,1075.739990234375,20.774999618530273
59,2022-03-29,1114.77001953125,21.959999084472656,1073.1099853515625,21.020000457763672,1093.9400024414062,21.489999771118164
60,2022-03-30,1113.949951171875,23.860000610351562,1084.0,21.6299991607666,1098.9749755859375,22.744999885559082
61,2022-03-31,1103.1400146484375,22.280000686645508,1076.6400146484375,20.760000228881836,1089.8900146484375,21.520000457763672
62,2022-04-01,1094.75,23.219999313354492,1066.6400146484375,21.559999465942383,1080.6950073242188,22.389999389648438
63,2022-04-04,1149.9100341796875,23.940000534057617,1072.530029296875,22.780000686645508,1111.2200317382812,23.360000610351562
64,2022-04-05,1152.8699951171875,23.979999542236328,1087.300048828125,22.440000534057617,1120.0850219726562,23.210000038146973
65,2022-04-06,1079.0,22.079999923706055,1027.699951171875,20.93000030517578,1053.3499755859375,21.505000114440918
66,2022-04-07,1076.5899658203125,21.68000030517578,1021.5399780273438,19.729999542236328,1049.0649719238281,20.704999923706055
67,2022-04-08,1048.43994140625,20.709999084472656,1022.4400024414062,19.829999923706055,1035.4399719238281,20.269999504089355
68,2022-04-11,1008.469970703125,20.06999969482422,974.6400146484375,17.770000457763672,991.5549926757812,18.920000076293945
69,2022-04-12,1021.1900024414062,20.270000457763672,976.5999755859375,19.219999313354492,998.8949890136719,19.744999885559082
70,2022-04-13,1026.239990234375,20.559999465942383,973.0999755859375,19.030000686645508,999.6699829101562,19.795000076293945
71,2022-04-14,1012.7100219726562,20.399999618530273,982.1900024414062,19.530000686645508,997.4500122070312,19.96500015258789
72,2022-04-18,1014.9199829101562,19.639999389648438,973.4099731445312,18.510000228881836,994.1649780273438,19.074999809265137
73,2022-04-19,1034.93994140625,19.889999389648438,995.3300170898438,18.360000610351562,1015.1349792480469,19.125
74,2022-04-20,1034.0,19.450000762939453,975.25,18.06999969482422,1004.625,18.760000228881836
75,2022-04-21,1092.219970703125,18.700000762939453,996.4199829101562,16.979999542236328,1044.3199768066406,17.84000015258789
76,2022-04-22,1034.8499755859375,18.290000915527344,994.0,17.1200008392334,1014.4249877929688,17.70500087738037
77,2022-04-25,1008.6199951171875,17.420000076293945,975.2999877929688,16.18000030517578,991.9599914550781,16.800000190734863
78,2022-04-26,1000.0,17.40999984741211,875.0,16.15999984741211,937.5,16.78499984741211
79,2022-04-27,918.0,17.690000534057617,877.3599853515625,16.520000457763672,897.6799926757812,17.105000495910645
80,2022-04-28,900.0,17.239999771118164,821.7000122070312,15.90999984741211,860.8500061035156,16.574999809265137
81,2022-04-29,934.4000244140625,18.190000534057617,870.0,16.65999984741211,902.2000122070312,17.425000190734863
82,2022-05-02,906.3599853515625,17.5,848.030029296875,16.399999618530273,877.1950073242188,16.949999809265137
83,2022-05-03,924.0800170898438,17.84000015258789,888.5900268554688,16.950000762939453,906.3350219726562,17.395000457763672
84,2022-05-04,955.5,18.219999313354492,885.280029296875,16.719999313354492,920.3900146484375,17.469999313354492
85,2022-05-05,945.5999755859375,17.520000457763672,857.7000122070312,14.869999885559082,901.6499938964844,16.195000171661377
86,2022-05-06,888.0,15.8100004196167,843.1099853515625,14.460000038146973,865.5549926757812,15.135000228881836
87,2022-05-09,845.6300048828125,14.529999732971191,781.1500244140625,13.479999542236328,813.3900146484375,14.00499963760376
88,2022-05-10,825.3599853515625,14.680000305175781,774.25,12.859999656677246,799.8049926757812,13.769999980926514
89,2022-05-11,809.77001953125,14.359999656677246,727.2000122070312,12.640000343322754,768.4850158691406,13.5
90,2022-05-12,759.6599731445312,13.75,680.0,11.670000076293945,719.8299865722656,12.710000038146973
91,2022-05-13,787.3499755859375,14.40999984741211,751.5700073242188,13.539999961853027,769.4599914550781,13.974999904632568
92,2022-05-16,769.760009765625,15.430000305175781,719.0900268554688,14.279999732971191,744.4250183105469,14.855000019073486
93,2022-05-17,764.47998046875,16.690000534057617,728.8499755859375,15.260000228881836,746.6649780273438,15.975000381469727
94,2022-05-18,760.5,16.93000030517578,700.8099975585938,15.65999984741211,730.6549987792969,16.295000076293945
95,2022-05-19,734.0,16.889999389648438,694.1099853515625,15.789999961853027,714.0549926757812,16.339999675750732
96,2022-05-20,721.5800170898438,17.600000381469727,633.0,15.680000305175781,677.2900085449219,16.640000343322754
97,2022-05-23,679.9600219726562,16.010000228881836,638.0599975585938,15.239999771118164,659.010009765625,15.625
98,2022-05-24,653.9199829101562,15.529999732971191,620.5700073242188,14.399999618530273,637.2449951171875,14.964999675750732
99,2022-05-25,669.3200073242188,15.0,623.010009765625,14.09000015258789,646.1650085449219,14.545000076293945
100,2022-05-26,718.6699829101562,16.1299991607666,653.6599731445312,14.329999923706055,686.1649780273438,15.229999542236328
101,2022-05-27,759.7999877929688,16.690000534057617,720.530029296875,15.670000076293945,740.1650085449219,16.18000030517578
102,2022-05-31,778.7999877929688,17.920000076293945,734.22998046875,16.760000228881836,756.5149841308594,17.34000015258789
103,2022-06-01,771.97998046875,18.93000030517578,730.9199829101562,17.479999542236328,751.4499816894531,18.204999923706055
104,2022-06-02,792.6300048828125,18.850000381469727,726.2000122070312,16.989999771118164,759.4150085449219,17.920000076293945
105,2022-06-03,743.3900146484375,18.739999771118164,700.25,17.809999465942383,721.8200073242188,18.274999618530273
106,2022-06-06,734.5999755859375,19.799999237060547,703.0499877929688,18.799999237060547,718.8249816894531,19.299999237060547
107,2022-06-07,719.989990234375,19.68000030517578,690.280029296875,18.600000381469727,705.135009765625,19.140000343322754
108,2022-06-08,749.8900146484375,20.450000762939453,717.530029296875,19.860000610351562,733.7100219726562,20.155000686645508
109,2022-06-09,766.6400146484375,19.68000030517578,717.97998046875,18.450000762939453,742.3099975585938,19.065000534057617
110,2022-06-10,718.5,19.18000030517578,683.739990234375,17.809999465942383,701.1199951171875,18.494999885559082
111,2022-06-13,679.9000244140625,17.489999771118164,644.0499877929688,15.84000015258789,661.9750061035156,16.664999961853027
112,2022-06-14,678.989990234375,19.09000015258789,635.2100219726562,16.489999771118164,657.1000061035156,17.789999961853027
113,2022-06-15,706.989990234375,20.260000228881836,654.4500122070312,18.18000030517578,680.7200012207031,19.22000026702881
114,2022-06-16,675.5,19.93000030517578,626.0800170898438,18.469999313354492,650.7900085449219,19.199999809265137
115,2022-06-17,662.9099731445312,20.889999389648438,639.5900268554688,19.729999542236328,651.25,20.309999465942383
116,2022-06-21,730.72998046875,23.100000381469727,673.0,21.579999923706055,701.864990234375,22.34000015258789
117,2022-06-22,740.5,23.1299991607666,701.47998046875,21.93000030517578,720.989990234375,22.52999973297119
118,2022-06-23,717.9500122070312,23.209999084472656,687.510009765625,22.229999542236328,702.7300109863281,22.719999313354492
