,Date,TSLA,NIO
0,2022-01-03,1201.0699462890625,33.79999923706055
1,2022-01-04,1208.0,33.38999938964844
2,2022-01-05,1170.3399658203125,31.940000534057617
3,2022-01-06,1088.0,30.540000915527344
4,2022-01-07,1080.9300537109375,30.420000076293945
5,2022-01-10,1059.0999755859375,29.15999984741211
6,2022-01-11,1075.8499755859375,30.440000534057617
7,2022-01-12,1114.8399658203125,31.860000610351562
8,2022-01-13,1115.5999755859375,31.850000381469727
9,2022-01-14,1052.0,31.31999969482422
10,2022-01-18,1070.7900390625,30.90999984741211
11,2022-01-19,1054.6700439453125,30.149999618530273
12,2022-01-20,1041.6600341796875,30.8799991607666
13,2022-01-21,1004.5499877929688,28.989999771118164
14,2022-01-24,933.510009765625,25.979999542236328
15,2022-01-25,951.260009765625,25.010000228881836
16,2022-01-26,987.6900024414062,24.780000686645508
17,2022-01-27,935.3900146484375,22.809999465942383
18,2022-01-28,857.5,21.31999969482422
19,2022-01-31,937.989990234375,24.639999389648438
20,2022-02-01,943.7000122070312,25.229999542236328
21,2022-02-02,931.5,24.889999389648438
22,2022-02-03,937.0,24.6200008392334
23,2022-02-04,936.5,24.31999969482422
24,2022-02-07,947.77001953125,24.780000686645508
25,2022-02-08,926.2899780273438,24.860000610351562
26,2022-02-09,946.27001953125,26.239999771118164
27,2022-02-10,943.8099975585938,26.40999984741211
28,2022-02-11,915.9600219726562,25.68000030517578
29,2022-02-14,898.8800048828125,24.540000915527344
30,2022-02-15,923.0,25.84000015258789
31,2022-02-16,926.4299926757812,25.84000015258789
32,2022-02-17,918.5,26.270000457763672
33,2022-02-18,886.8699951171875,24.790000915527344
34,2022-02-22,856.72998046875,22.959999084472656
35,2022-02-23,835.2999877929688,22.5
36,2022-02-24,802.47998046875,21.309999465942383
37,2022-02-25,819.5,21.56999969482422
38,2022-02-28,876.8599853515625,23.149999618530273
39,2022-03-01,889.8800048828125,23.350000381469727
40,2022-03-02,886.47998046875,22.209999084472656
41,2022-03-03,886.4400024414062,21.809999465942383
42,2022-03-04,855.6500244140625,20.290000915527344
43,2022-03-07,866.1400146484375,20.030000686645508
44,2022-03-08,849.989990234375,18.75
45,2022-03-09,860.5599975585938,20.549999237060547
46,2022-03-10,854.4500122070312,19.100000381469727
47,2022-03-11,843.7999877929688,18.1299991607666
48,2022-03-14,800.7000122070312,15.739999771118164
49,2022-03-15,805.5700073242188,15.350000381469727
50,2022-03-16,842.0,18.770000457763672
51,2022-03-17,875.0,18.829999923706055
52,2022-03-18,907.8499755859375,21.239999771118164
53,2022-03-21,942.8499755859375,21.200000762939453
54,2022-03-22,997.8599853515625,22.09000015258789
55,2022-03-23,1040.699951171875,22.600000381469727
56,2022-03-24,1024.489990234375,22.1200008392334
57,2022-03-25,1021.7999877929688,20.75
58,2022-03-28,1097.8800048828125,21.229999542236328
59,2022-03-29,1114.77001953125,21.959999084472656
60,2022-03-30,1113.949951171875,23.860000610351562
61,2022-03-31,1103.1400146484375,22.280000686645508
62,2022-04-01,1094.75,23.219999313354492
63,2022-04-04,1149.9100341796875,23.940000534057617
64,2022-04-05,1152.8699951171875,23.979999542236328
65,2022-04-06,1079.0,22.079999923706055
66,2022-04-07,1076.5899658203125,21.68000030517578
67,2022-04-08,1048.43994140625,20.709999084472656
68,2022-04-11,1008.469970703125,20.06999969482422
69,2022-04-12,1021.1900024414062,20.270000457763672
70,2022-04-13,1026.239990234375,20.559999465942383
71,2022-04-14,1012.7100219726562,20.399999618530273
72,2022-04-18,1014.9199829101562,19.639999389648438
73,2022-04-19,1034.93994140625,19.889999389648438
74,2022-04-20,1034.0,19.450000762939453
75,2022-04-21,1092.219970703125,18.700000762939453
76,2022-04-22,1034.8499755859375,18.290000915527344
77,2022-04-25,1008.6199951171875,17.420000076293945
78,2022-04-26,1000.0,17.40999984741211
79,2022-04-27,918.0,17.690000534057617
80,2022-04-28,900.0,17.239999771118164
81,2022-04-29,934.4000244140625,18.190000534057617
82,2022-05-02,906.3599853515625,17.5
83,2022-05-03,924.0800170898438,17.84000015258789
84,2022-05-04,955.5,18.219999313354492
85,2022-05-05,945.5999755859375,17.520000457763672
86,2022-05-06,888.0,15.8100004196167
87,2022-05-09,845.6300048828125,14.529999732971191
88,2022-05-10,825.3599853515625,14.680000305175781
89,2022-05-11,809.77001953125,14.359999656677246
90,2022-05-12,759.6599731445312,13.75
91,2022-05-13,787.3499755859375,14.40999984741211
92,2022-05-16,769.760009765625,15.430000305175781
93,2022-05-17,764.47998046875,16.690000534057617
94,2022-05-18,760.5,16.93000030517578
95,2022-05-19,734.0,16.889999389648438
96,2022-05-20,721.5800170898438,17.600000381469727
97,2022-05-23,679.9600219726562,16.010000228881836
98,2022-05-24,653.9199829101562,15.529999732971191
99,2022-05-25,669.3200073242188,15.0
100,2022-05-26,718.6699829101562,16.1299991607666
101,2022-05-27,759.7999877929688,16.690000534057617
102,2022-05-31,778.7999877929688,17.920000076293945
103,2022-06-01,771.97998046875,18.93000030517578
104,2022-06-02,792.6300048828125,18.850000381469727
105,2022-06-03,743.3900146484375,18.739999771118164
106,2022-06-06,734.5999755859375,19.799999237060547
107,2022-06-07,719.989990234375,19.68000030517578
108,2022-06-08,749.8900146484375,20.450000762939453
109,2022-06-09,766.6400146484375,19.68000030517578
110,2022-06-10,718.5,19.18000030517578
111,2022-06-13,679.9000244140625,17.489999771118164
112,2022-06-14,678.989990234375,19.09000015258789
113,2022-06-15,706.989990234375,20.260000228881836
114,2022-06-16,675.5,19.93000030517578
115,2022-06-17,662.9099731445312,20.889999389648438
116,2022-06-21,730.72998046875,23.100000381469727
117,2022-06-22,740.5,23.1299991607666
118,2022-06-23,717.9500122070312,23.209999084472656
